a,b,c
0.448,0.303,0.249
0.0,0.826,0.174
0.036,0.818,0.147
0.0,0.823,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.33,0.67,0.0
0.0,0.905,0.095
0.045,0.887,0.068
0.0,1.0,0.0
0.0,1.0,0.0
0.211,0.789,0.0
0.0,0.823,0.177
0.147,0.853,0.0
0.0,1.0,0.0
0.066,0.88,0.055
0.0,0.905,0.095
0.186,0.814,0.0
0.178,0.822,0.0
0.0,0.826,0.174
0.095,0.905,0.0
0.096,0.828,0.076
0.106,0.833,0.061
0.0,1.0,0.0
0.0,0.939,0.061
0.0,1.0,0.0
0.0,0.823,0.177
0.0,0.823,0.177
0.0,0.826,0.174
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.184,0.816,0.0
0.0,0.816,0.184
0.0,1.0,0.0
0.098,0.902,0.0
0.042,0.885,0.073
0.04,0.889,0.07
0.0,0.924,0.076
0.034,0.737,0.229
0.0,0.836,0.164
0.0,0.929,0.071
0.101,0.899,0.0
0.162,0.658,0.18
0.0,0.905,0.095
0.0,0.813,0.187
0.0,0.912,0.088
0.053,0.896,0.051
0.093,0.799,0.108
0.0,0.95,0.05
0.392,0.608,0.0
0.0,1.0,0.0
0.0,0.89,0.11
0.036,0.818,0.147
0.178,0.822,0.0
0.0,1.0,0.0
0.392,0.608,0.0
0.241,0.759,0.0
0.151,0.849,0.0
0.0,0.901,0.099
0.0,1.0,0.0
0.036,0.818,0.147
0.313,0.453,0.234
0.0,1.0,0.0
0.162,0.838,0.0
0.134,0.774,0.092
0.162,0.658,0.18
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.958,0.042
0.0,0.808,0.192
0.028,0.927,0.045
0.141,0.751,0.108
0.0,1.0,0.0
0.0,1.0,0.0
0.045,0.887,0.068
0.096,0.854,0.05
0.0,1.0,0.0
0.0,0.823,0.177
0.036,0.818,0.147
0.0,1.0,0.0
0.0,0.823,0.177
0.045,0.887,0.068
0.0,0.916,0.084
0.153,0.67,0.177
0.042,0.925,0.033
0.0,0.823,0.177
0.104,0.896,0.0
0.153,0.67,0.177
